Position,"Track Name",Artist,Streams,URL
109,"Just Hold On","Steve Aoki",672305,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
110,"Side To Side","Ariana Grande",670500,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
111,Rolex,"Ayo & Teo",666821,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
112,"Me Llamas (feat. Maluma) - Remix","Piso 21",659894,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
113,"Treat You Better","Shawn Mendes",659445,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
114,"New Man","Ed Sheeran",657024,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
115,"Hay Mi Dios","El Chacal",638693,https://open.spotify.com/track/6wWiQShJzwI6kYYGucAFnN
116,"Ahora Dice","Chris Jeday",627427,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
117,Photograph,"Ed Sheeran",627181,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
118,Heathens,"Twenty One Pilots",620528,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
119,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",617808,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
120,Mercy,"Shawn Mendes",616671,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
121,"Obsession (feat. Jon Bellion)",Vice,608243,https://open.spotify.com/track/542Xd5qDeLBvgXZXhfW7LE
122,"Love On The Brain",Rihanna,604564,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
123,"Ciao Adios",Anne-Marie,599431,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
124,"My Way","Calvin Harris",597404,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
125,"Vente Pa' Ca","Ricky Martin",595586,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
126,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",591251,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
127,"do re mi",Blackbear,589566,https://open.spotify.com/track/3sTCfUmYXSVWDacTd6uMbQ
128,TG4M,"Zara Larsson",589500,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz
129,Barcelona,"Ed Sheeran",577044,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
130,"Supermarket Flowers","Ed Sheeran",575535,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
131,"Cheap Thrills",Sia,573341,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
132,Safari,"J Balvin",572280,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
133,"All Night (feat. Knox Fortune)","Chance The Rapper",572182,https://open.spotify.com/track/60xaS8mYBKUW4VQQ666N0T
134,"Bad Things - With Camila Cabello","Machine Gun Kelly",571047,https://open.spotify.com/track/6H2TKJ9KJfcq6MRmw2cF20
135,Human,"Rag'n'Bone Man",566770,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
136,"Thinking Out Loud","Ed Sheeran",565674,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
137,"Stressed Out","Twenty One Pilots",564858,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
138,"Be The One","Dua Lipa",562454,https://open.spotify.com/track/1ixphys4A3NEXp6MDScfih
139,"Me Enamoré",Shakira,560125,https://open.spotify.com/track/4m5A5meIueOcDBpbqGvkQB
140,Faded,"Alan Walker",556357,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
141,"Love Yourself","Justin Bieber",555648,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
142,"Black Beatles","Rae Sremmurd",554745,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
143,"Teenage Fever",Drake,550404,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
144,"Free Smoke",Drake,549441,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
145,"How Would You Feel (Paean)","Ed Sheeran",545363,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
146,Ride,"Twenty One Pilots",543008,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
147,Vacaciones,Wisin,540394,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
148,Skin,"Rag'n'Bone Man",540311,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
149,"Alguien Robo","Sebastian Yatra",540277,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
150,"Perfect Strangers","Jonas Blue",537923,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
151,"Get It Together",Drake,535799,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
152,"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly",533145,https://open.spotify.com/track/5DEp4UmhxN7OLnYQacWZhh
153,"Don't Leave",Snakehips,530158,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
154,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha",527061,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8
155,"All We Know","The Chainsmokers",525972,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
156,"Work from Home","Fifth Harmony",525572,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
157,"Broccoli (feat. Lil Yachty)",D.R.A.M.,521113,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
158,"Scars To Your Beautiful","Alessia Cara",520452,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
159,"This Is What You Came For","Calvin Harris",518528,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
160,"Te Quiero Pa´Mi","Don Omar",517496,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
161,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",513826,https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p
162,"Shed a Light","Robin Schulz",513241,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
163,"Break Up Every Night","The Chainsmokers",512404,https://open.spotify.com/track/6cPyTS0Kk2sc4xQwC93kOg
164,Moves,"Big Sean",508741,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
165,Sorry,"Justin Bieber",507889,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
166,"The Other",Lauv,503040,https://open.spotify.com/track/3ZD3kjn80pQ9keYO8eqp9d
167,"Water Under the Bridge",Adele,501714,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
168,"Lights Down Low",MAX,494264,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
169,"Versace On The Floor","Bruno Mars",489795,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
170,"Black SpiderMan",Logic,487181,https://open.spotify.com/track/0lSFDvmV2HZqrtVtneT3no
171,"Million Reasons","Lady Gaga",484302,https://open.spotify.com/track/50PWlIBU7PlGGwzgN8TiFJ
172,Caroline,Aminé,482607,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
173,Traicionera,"Sebastian Yatra",482120,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
174,"I Got You","Bebe Rexha",482081,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
175,"Nancy Mulligan","Ed Sheeran",476961,https://open.spotify.com/track/35QZaWQRkmnAVqBF1TLCxQ
176,"7 Years","Lukas Graham",472328,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
177,"Lean On (feat. MØ & DJ Snake)","Major Lazer",471342,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
178,Alone,"Alan Walker",466484,https://open.spotify.com/track/3ujORpm8Hf7QWEtfqSAZL8
179,"By Your Side","Jonas Blue",461183,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
180,"Sunset Lover","Petit Biscuit",460631,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
181,Panda,Desiigner,453471,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
182,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",452942,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
183,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,451985,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
184,"Hearts Don't Break Around Here","Ed Sheeran",451641,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
185,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",450562,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
186,"Cake By The Ocean",DNCE,450212,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
187,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)","Young Thug",449588,https://open.spotify.com/track/5PfTI3zrQbZEWcQdycMqJM
188,"La Bicicleta","Carlos Vives",448977,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
189,"No Lie","Sean Paul",446617,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
190,"Dile Que Tu Me Quieres",Ozuna,446276,https://open.spotify.com/track/7eWjKYlhZyM8kPz6JJ35aN
191,"Deja vu","Prince Royce",443501,https://open.spotify.com/track/46HdsiK0uR26B2dY9QPzda
192,Down,"Marian Hill",443146,https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd
193,"i hate u, i love u (feat. olivia o'brien)",gnash,442834,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
194,"The Scientist",Coldplay,442766,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
195,Everybody,Logic,441120,https://open.spotify.com/track/51sVgPeBHYwbeM1cWegVqR
196,"Peek A Boo","Lil Yachty",439246,https://open.spotify.com/track/1iTWoKAdilGEmit6xhQZje
197,"Party Monster","The Weeknd",437337,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
198,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",435733,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
199,Lumbra,"Cali Y El Dandee",435282,https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK
200,KMT,Drake,426625,https://open.spotify.com/track/2jTujnt0y344ai1rNOywgr
